[2026-04-12 19:40:57] LOADED | Host: C:\WINDOWS\system32\LogonUI.exe
[2026-04-12 19:40:58] UNLOADED | Host: C:\WINDOWS\system32\conhost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:40:59] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:40:59] LOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:41:00] LOADED | Host: C:\WINDOWS\system32\wbem\wmiprvse.exe
[2026-04-12 19:41:00] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\SearchProtocolHost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:01] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:02] UNLOADED | Host: C:\WINDOWS\system32\SearchIndexer.exe
[2026-04-12 19:41:02] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 19:41:02] UNLOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:34] LOADED | Host: C:\WINDOWS\system32\winlogon.exe
[2026-04-12 21:41:35] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:35] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\LogonUI.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\dwm.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\system32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\System32\svchost.exe
[2026-04-12 21:41:36] LOADED | Host: C:\WINDOWS\System32\svchost.exe
